Studio,Status,Exclusivity,Game Identifier,Game Name,EN,CN,TH,VN,ID,KR,MY,PTBR,ESLA,RU,TR,BN,HI,RTP,Volatility,Highest Payout,Bonus,Hit Rate,Reels,Display,Game Type,Win Tiers,Line/Ways,Buy Feature,Free Spin,Respin,Retrigger,Lucky Draw,Bonus,Hold & Spin,Multiplier Symbol,Increasing Multiplier,Featured Wild,Progressive Jackpot,Fixed Jackpot,Double Chance feature,Gamification,Design Theme & Features,Market Filter,Additional Market Filter,Country Filter,Game Description,GAME DEMO,Brochure EN,Brochure CN,Game Banners,PSD File,Game Design Document,"Localisation
(Translation Progress)",UKGC Certification,GLI 19 Certification,PAGCOR Certification,"
Global Labs
Certification (Peru)"
KB,Launched,"All, UFA",ppc-mahjong-dragon-ways,Mahjong Dragon Ways,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,5000X,-,28.97%,5x4,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",2000 Win Ways,,✓,,✓,,,,,✓,✓,,,,,"Gold, Red, Mahjong Tiles, Yuanbao, Chinese Copper, Cascading Wins, Free Spins, Dragon, Mega Win",East Asia,South East Asia,"China
Malaysia","Mahjong Dragon Ways is a 4x5 reel slot inspired by classic Mahjong with dragon theme. With up to 2,000 ways to win, each win increases your multiplier, reaching up to 10x during Free Spins! Land 3 or more Scatters to unlock Free Spins and chase a max payout of 5,000x your bet! Follow the golden dragon and discover your path to big rewards!
龙腾牌局风云起，胡牌聚运赢翻天！在《麻将龙道》4x5卷轴的东方幻境中，每次获胜都能让您的倍率从1倍开始节节攀升，直至10倍封顶，盈利如巨龙腾空势不可挡！集齐3枚神秘""胡""字徽，即可召唤神龙赐福的免费旋转，在龙纹翻飞间累积倍率直冲巅峰，更有机会斩获5000倍终极暴富大奖！黄金巨龙已蓄势待发，现在就加入战局，让神龙助您牌开得胜，赢取属于您的传奇财富！",https://mahjong-dragon-ways-demo.gs6.kingmidasdev.net/?test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/mahjong-dragon-ways_product-brochure_en.pdf,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/mahjong-dragon-ways_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/mahjong-dragon-ways_psd.zip,N.A,Koban Content Master,PENDING,PENDING,PENDING,PENDING
KB,Launched,"All, UFA",cleo-cleopatra,Cleopatra’s Fortune Ways,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,5000X,-,28.97%,5x4,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",2000 Win Ways,,✓,,✓,,,,,✓,✓,,,,,Gold/ Purple/ Bronze/ Sandstone Walls/ Eye of Horus/ Coins/ Egyptian Queen/ Treasure Chest/ Ankh/ Scarab/ Sphinx/ Free Spins/ Cascading Wins,North America,Europe,"United Kingdom
United States of America
Egypt","Indulge in the mystique of Cleopatra’s Fortune Ways. This 4x5 reel slots offers up to 2,000 win ways with cascading symbols for non-stop chances to win. Gold-plated symbols light up the reels and transform into Wilds for even bigger rewards. Land 3 or more Scatters to unlock 10 Free Spins or more. During Free Spins, each win boosts your multiplier up to x10! Riches, royalty, and endless excitement await in Cleopatra’s Fortune Ways.
穿越时空的黄金邀约！在《克利奥帕特拉的财富之路》的4x5古老卷轴中藏有2000条获胜路径，每次消除都将带来新的财富契机。当三枚埃及艳后头像同时出现，神秘的力量将为您开启10次神圣旋转——每一次胜利都让倍率如金字塔般层层叠加，直冲10倍巅峰！在这片黄金与神秘交织的国度，最高5000倍的终极财富正等待着真正的冒险者。此刻启程，让艳后的祝福指引您走向无限荣光！",https://cleopatras-fortune-ways-demo.gs6.kingmidasdev.net/?test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/cleopatras-fortune-ways_product-brochure_en.pdf,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/cleopatras-fortune-ways_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/cleopatras-fortune-ways_psd.zip,N.A,Koban Content Master,PENDING,PENDING,PENDING,PENDING
KB,Launched,"All, UFA",bg-bunny-girl,Bunny VIP Night,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,15000X,-,27.94%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,✓,✓,,✓,,,,✓,,,,,,,Red/ Purple/ Bunny Girl/ VIP Lounge/ Diamonds/ Gold Coins/ Free Spins/ Cascading Wins,North America,Europe,"United Kingdom
United States of America
","Enter the club of Bunny VIP Night, a glamorous 5x6 reel slots where symbols pay anywhere on the screen! Land 4 or more Scatters to unlock 15 Free Spins with a stacking multiplier that grows with each win. Look out for random multiplier symbols up to 1,000x, and chase the grand prize of up to 15,000x!  Spin fast, win big, and enjoy a night of VIP rewards!
欢迎来到《兔子 VIP 夜晚》！在这闪耀着霓虹灯光的5x6豪华转盘上，只要任意位置出现8个相同符号即可赢得奖励！收集4个黄金盾牌或更多，立即解锁15次免费旋转——每次获胜都能叠加倍率，让奖金不断飙升！更有机遇触发最高1000倍的随机倍率符号，向终极15000倍大奖发起冲击！在霓虹闪耀的舞池中央，每一次旋转都可能带来意想不到的奢华回报，快加入这场星光熠熠的赢奖派对，让幸运与狂欢彻夜不停！",https://bunny-vip-night-demo.gs6.kingmidasdev.net/?test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/bunny-vip-night_product-brochure_en.pdf,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/bunny-vip-night_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/bunny-vip-night_psd.zip,N.A,Koban Content Master,PENDING,PENDING,PENDING,PENDING
KB,Launched,"All, UFA",zeus,Treasures of Olympus 1000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,15000X,-,27.94%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,✓,✓,,✓,,,,✓,,,,,,,"BUY FEATURE, CASCADING WINS, FREE SPIN, GREEK MYTHOLOGY, MULTIPLIER SYMBOL, RETRIGGER, SCATTER PAYS, ZEUS",Europe,,"United Kingdom
United States of America
Greece","Enter the realm of gods in Treasures of Olympus 1000, a 6x5 slots filled with divine rewards! Match 8 or more symbols anywhere on the screen and watch them tumble away for nonstop wins. Multiplier symbols worth up to 1,000x can appear at any time for massive payouts! Land 4 or more Scatters to unlock 15 Free Spins, where multipliers grow with every win. Spin for glory and win up to an epic 15,000x!
《奥林匹斯的宝藏1000》邀您开启神话般的财富之旅！6x5的恢弘转盘中，8个相同符号任意相连即触发震撼消除效果，胜利接踵而至！神秘倍率符号随时空降，最高赐予1000倍财富恩赐！当4道宙斯雷电划破天际，15轮神圣旋转即刻开启——每次取胜都将获得众神馈赠的倍率加持！在这片神恩眷顾之地，勇者最高可斩获15000倍惊天大奖！立即启程，让奥林匹斯众神为您的幸运加冕！",https://treasures-of-olympus-1000-demo.gs6.kingmidasdev.net/?gcode=zeus&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/treasures-of-olympus-1000_product-brochure_en.pdf,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/treasures-of-olympus-1000_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/treasures-of-olympus-1000_psd.zip,N.A,Koban Content Master,PENDING,PENDING,PENDING,PENDING
KB,Launched,"All, UFA",azt,Aztec Fortune,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.95%,MEDIUM,5000X,-,28.97%,5x4,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",2000 Win Ways,,✓,,✓,,,,,✓,✓,,,,,,Latin America,Europe,"United Kingdom
United States of America
Mexico","Uncover the ancient riches in Aztec Fortune, an exciting 5x4 slots with expanding rows and non-stop wins! Golden symbols appear on the middle reels, turning into Wilds as multipliers rise to a mighty 10x! Land 3 or more Scatters to unlock 10 or more Free Spins. With every cascade, fortune grows. Chase the power of the gods and win up to 2000x!
《阿兹特克财富》带您深入神秘地图，探寻失落的黄金城！在这片5x4图腾转盘中，胜利将唤醒沉睡的机关落下新的图案，创造更多制胜机会！胜利之神随时可能苏醒，化身所向披靡的百搭图腾，并带来最高10倍的财富增幅！当三枚神圣的符号同时显现，您将获得至少10次神秘旋转，每次消除都让奖励层层叠加！在这趟冒险之旅的终点，等待您的是至高无上的2000倍黄金大奖！准备好揭开古文明的最大秘密了吗？",https://aztec-fortune-demo.gs6.kingmidasdev.net/?test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/aztec-fortune_product-brochure_en.pdf,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/aztec-fortune_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/aztec-fortune_psd.zip,N.A,Koban Content Master,PENDING,PENDING,PENDING,PENDING
KB,Post-Production,"All, UFA",fot-lucky-tiger,Lucky Tiger,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,97.01%,MEDIUM,2500X,-,22.19%,3x3,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",5 Paylines,,,✓,,,,,,,✓,,,,,,,,,,https://lucky-tiger-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
KB,Post-Production,"All, UFA",sugar-candy-bonanza,Sugar Candy Bonanza,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.92%,HIGH,15000X,-,27.93%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,✓,✓,,✓,,,,✓,,,,,,,,,,,,https://sugar-candy-bonanza-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
KB,Post-Production,,arp-aphrodites-blessing,Aphrodite's Blessing,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.92%,HIGH,15000X,-,27.93%,6x5,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",Scatter Pays,✓,✓,,✓,,,,✓,,,,,,,,,,,,https://aphrodites-blessing-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
KB,Pre-Production,,tom-tomyum-bonanza,Tomyum Bonanza,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,97.01%,MEDIUM,2500X,-,22.19%,3x3,Portrait,Video Slots,"Big win (20-35)
Mega (35-50)
Super mega >50",5 Paylines,,,✓,,,,,,,✓,,,,,,,,,,https://tomyum-bonanza-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
KB,Pre-Production,,mega-fortune-ox,Mega Fortune Ox,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,96.98%,MEDIUM,2000X,-,20.69%,3x4x3,Portrait,Video Slots,,10 Paylines,,,✓,,,,,,,,,,,,,,,,,https://mega-fortune-ox-demo.gs6.kingmidasdev.net/?test=1,,N.A,,,,,PENDING,PENDING,PENDING,PENDING
