Studio,GID,Exclusivity,Status,Game Identifier,Product Name EN,Product Name TH,Game Icon,RTP,"Highest Payout
(Single Bet)",Bonus,"Max Win
Highest payout including bonus",Volatility,Commission,Hit Rate,GENRE / GAME TYPE,Tags,
KB,147,UFA,Live,ppc-mahjong-dragon-ways,Mahjong Dragon Ways,มาจองเส้นทางมังกร,,96.95%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KB,213,UFA,Live,sushi-rush,Sushi Rush,ซูชิเร่งรัด,,97.01%,2500X,-,2500X,MEDIUM,,22.19%,SLOTS,VIDEO-SLOT,PAYLINES
KB,214,UFA,Live,tomyum-bonanza,Tomyum Bonanza,ต้มยำโบนันซ่า,,97.01%,2500X,-,2500X,MEDIUM,,22.19%,SLOTS,VIDEO-SLOT,PAYLINES
KB,215,UFA,Live,wild-witch-sugar-bonanza,Wild Witch Sugar Bonanza,แม่มดป่าแห่งความหวาน โบนันซ่า,,97.01%,2500X,,2500X,MEDIUM,,22.19%,SLOTS,VIDEO-SLOT,PAYLINES
KB,237,UFA,Live,maya-temple-of-fortune,Maya: Temple of Fortune,มายา: วัดแห่งโชค,,96.95%,2400X,-,2400X,LOW,,50.24%,SLOTS,VIDEO-SLOT,PAYLINES
KM,86,UFA,Live,sugar-blast-2,Sugar Blast Frenzy,ชูการ์แบลสต์คลั่ง,,96.98%,3000X,-,3000X,HIGH,No Commission,28.17%,SLOTS,MATCH-3,CASCADE
KM,99,UFA,Live,cleopatras-treasure,Cleopatra's Treasure,ขุมทรัพย์แห่ง คลีโอพัตรา,,97.00%,5000X,200,5000X,HIGH,No commission,34.01%,SLOTS,MATCH-3,CASCADE
KM,100,UFA,Live,rooster-blitz,Rooster Blitz,บลิสซ์ไก่ชน,,97.00%,5000X,-,5000X,HIGH,No commission,28.17%,SLOTS,MATCH-3,CASCADE
KM,116,UFA,Live,gold-rush-bonanza,Gold Rush Bonanza,โกลด์ รัช โบนันซ่า,,97.00%,5000X,100X,5000X,HIGH,,37.17%,SLOTS,VIDEO-SLOT,CASCADE
KM,117,UFA,Live,pirates-treasure,Pirate's Treasure,สมบัติโจรสลัด,,97.00%,2000X,10X,2000X,HIGH,,45.33%,SLOTS,MATCH-3,CASCADE
KM,122,UFA,Live,hippo-splash,Hippo Splash,ฮิปโปสแปลช,,97.00%,2500X,10X,2500X,MEDIUM,,24.27%,SLOTS,VIDEO-SLOT,PAYLINES
KB,152,UFA,Live,bg-bunny-girl,Bunny VIP Night,ค่ำคืนวีไอพีกระต่าย,,96.95%,15000X,,15000X,HIGH,,27.94%,SLOTS,VIDEO-SLOT,SCATTER PAYS
KB,153,UFA,Live,cleo-cleopatra,Cleopatra’s Fortune Ways,เส้นทางโชคลาภแห่งคลีโอพัตรา,,96.95%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KB,154,UFA,Live,zeus,Treasures of Olympus 1000,ขุมทรัพย์โอลิมปัส1000,,96.95%,15000X,,15000X,HIGH,,27.94%,SLOTS,VIDEO-SLOT,SCATTER PAYS
KB,156,UFA,Live,azt,Aztec Fortune,โชคลาภแอซเท็ก,,96.95%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KM,193,UFA,Live,flame-of-fortune,Flame of Fortune," 
 	
เปลวไฟแห่งโชคลาภ",,96.99%,10000X,-,10000X,MEDIUM,,32.00%,SLOTS,VIDEO-SLOT,WINWAYS
KB,203,UFA,Live,lucky-tiger,Lucky Tiger,เสือโชคดี,,97.01%,2500X,-,2500X,MEDIUM,,22.19%,SLOTS,VIDEO-SLOT,PAYLINES
KB,205,UFA,Live,sugar-candy-bonanza,Sugar Candy Bonanza,น้ำตาลขนมหวานโบนันซ่า,,96.92%,15000X,-,15000X,HIGH,,27.93%,SLOTS,VIDEO-SLOT,SCATTER PAYS
KM,8,UFA Only,Live,pok-deng,Pok Deng,ป๊อกเด้ง,,98.90,5X,-,5X,LOW,N.A,,CLASSIC,TABLE,CARD
KM,60,UFA Only,Live,gao-gae-2,UFA Gao Gae,UFA เก้าเก,,97.00%,-,45,45X,LOW,3% Commission will be drawn from the winners of a round.,,CLASSIC,TABLE,CARD
KM,71,UFA Only,Live,belangkai-3,Belangkai Fold,กุ้งปลา,,97.00%,2.8X,2,5.6X,LOW,No Commission,,CLASSIC,TABLE,DICE
KM,73,UFA Only,Live,penalty-shoot,Football Penalty Kick,เกมยิงจุดโทษ,,97.13%,19X,-,19X,LOW,No Commission,,CLASSIC,VIRTUAL,SPORTS
KM,76,UFA Only,Live,chinese-poker,Chinese Poker,ไพ่สามกอง 13 ใบ,,97.00%,26X,-,26X,MEDIUM,3% Commission will be drawn from the winners of a round.,,CLASSIC,TABLE,CARD
KM,77,UFA Only,Live,king-slave,King Slave,ไพ่สลาฟ,,97.66%,1X,12,12X,LOW,"10% Commission from the bet amount will be drawn from winners at the end, and 5% commission from those at exactly 0 points instead.",,CLASSIC,TABLE,CARD
KM,79,UFA Only,Live,gao-gae-jud,"Gao Gae Jud
(3 sets 9 cards)","เก้าเกจัด
3 กอง 9 ใบ",,97.00%,480X,-,480X,MEDIUM,3% Commission will be drawn from the winners of a round.,,CLASSIC,TABLE,CARD
KM,85,UFA Only,Live,texas-poker,Texas Hold'em Poker,โป๊กเกอร์เท็กซัสโฮลเอ็ม,,100.00%,5X,-,5X,LOW,No Commission,,CLASSIC,TABLE,CARD
KM,87,UFA Only,Live,penalty-shoot-mini,Football Penalty Kick (Mini),เกมยิงจุดโทษ,,97.13%,1.9X,-,,LOW,No Commission,,CLASSIC,TABLE,MINI
KM,104,UFA Only,Live,olympus-glory,Olympus Glory,"โอลิมปัส
กลอรี่",,96.61%,12X,30,30X,MEDIUM,,,NEXT-GEN,INSTANT,PLINKO
KM,115,UFA Only,Live,thai-hi-lo-jackpot,Thai Hi Lo Jackpot,"ไฮโลไทย
 แจ็กพ็อต",,97.00%,5X,2,10X,HIGH,,,CLASSIC,TABLE,DICE
KM,143,UFA Only,Live,pok-deng-versus,Pok Deng Versus,ป๊อกเด้งดวลเดือด,,96.78%,6X,-,6X,MEDIUM,,,CLASSIC,TABLE,CARD
KM,186,UFA Only,Live,fantasy-epl,Virtual FIFA,ฟีฟ่าเสมือนจริง,,96.00%,5X,,5X,LOW,,,CLASSIC,VIRTUAL,SPORTS
KM,188,UFA Only,Live,thai-hi-lo-football-fever,Thai Hi-Lo: Football Fever,ไฮโลไทย: ฟุตบอลฟีเวอร์,,96.00%,6X,4X,21X,HIGH,,,CLASSIC,TABLE,DICE
KM,207,"UFA Only, UFA Premium Lobby",Integrated,mahjong-beauty-ufa,Mahjong Beauty,ไพ่นกกระจอก สาวงาม,,98.00%,10000X,,10000X,MEDIUM,,32.05%,SLOTS,VIDEO-SLOT,CASCADE
KM,208,"UFA Only, UFA Premium Lobby",Integrated,hunk-cai-shen-ufa,Hunk Cai Shen,เทพไฉ่ซิ้งจอมพลัง,,98.00%,15000x,-,15000X,High,,22.60%,SLOTS,VIDEO-SLOT,PAYLINES
KB,209,"UFA Only, UFA Premium Lobby",Live,ppc-mahjong-dragon-ways-ufa,Mahjong Dragon Ways,มาจองเส้นทางมังกร,,98.00%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KB,210,"UFA Only, UFA Premium Lobby",Live,azt-ufa,Aztec Fortune,โชคลาภแอซเท็ก,,98.00%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KB,211,"UFA Only, UFA Premium Lobby",Live,zeus-ufa,Treasures of Olympus 1000,ขุมทรัพย์โอลิมปัส1000,,98.00%,15000X,,15000X,HIGH,,27.94%,SLOTS,VIDEO-SLOT,CASCADE
KB,217,"UFA Only, UFA Premium Lobby",Integrated,bg-bunny-girl-ufa,Bunny VIP Night,ค่ำคืนวีไอพีกระต่าย,,96.95%,15000X,,15000X,HIGH,,27.94%,SLOTS,VIDEO-SLOT,SCATTER PAYS
KM,223,"UFA Only, UFA Premium Lobby",Live,flame-of-fortune-ufa,Flame of Fortune," 
 	
เปลวไฟแห่งโชคลาภ",,96.99%,10000X,-,10000X,MEDIUM,,32.00%,SLOTS,VIDEO-SLOT,WINWAYS
KB,216,"UFA Only, UFA Premium Lobby",Live,sugar-candy-bonanza-ufa,Sugar Candy Bonanza,น้ำตาลขนมหวานโบนันซ่า,,96.92%,15000X,-,15000X,HIGH,,27.93%,SLOTS,VIDEO-SLOT,SCATTER PAYS
KB,218,"UFA Only, UFA Premium Lobby",Integrated,lucky-tiger-ufa,Lucky Tiger,เสือโชคดี,,97.01%,2500X,-,2500X,MEDIUM,,22.19%,SLOTS,VIDEO-SLOT,PAYLINES
KB,219,"UFA Only, UFA Premium Lobby",Integrated,cleo-cleopatra-ufa,Cleopatra’s Fortune Ways,เส้นทางโชคลาภแห่งคลีโอพัตรา,,96.95%,5000X,,5000X,MEDIUM,,28.97%,SLOTS,VIDEO-SLOT,CASCADE
KM,234,"UFA Only, UFA Premium Lobby",Live,gold-rush-bonanza-ufa,Gold Rush Bonanza,โกลด์ รัช โบนันซ่า,,97.00%,5000X,100X,5000X,HIGH,,37.17%,SLOTS,VIDEO-SLOT,CASCADE
KM,235,"UFA Only, UFA Premium Lobby",Live,cleopatras-treasure-ufa,Cleopatra's Treasure,ขุมทรัพย์แห่ง คลีโอพัตรา,,97.00%,5000X,200,5000X,HIGH,No commission,34.01%,SLOTS,MATCH-3,CASCADE
KM,236,"UFA Only, UFA Premium Lobby",Live,tides-of-fortune-ufa,Tides of Fortune,เกลียวคลื่นแห่งโชคลาภ,,97.00%,10000X,,10000X,HIGH,No Commission,,SLOTS,VIDEO-SLOT,MATCH-3
KB,258,UFA Premium Lobby,Live,golden-fortune-horse-ufa,Golden Fortune Horse,"ทองคำ
โชคลาภ
ม้า",,97.04%,5000X,,5000X,MEDIUM,,23.93%,SLOTS,VIDEO-SLOT,WINWAYS
KB,259,UFA Premium Lobby,Live,african-buffalo-5000-ufa,African Buffalo 5000,แอฟริกันควาย 5000,,97.01%,"5,000X",,5000X,LOW,,52.94%,SLOTS,VIDEO-SLOT,WINWAYS
KB,277,UFA,Under Development,vulcans-blessing,Vulcan’s Blessing,พรจากวัลแคน,,96.92%,,,10000x,LOW,,34.87%,SLOTS,VIDEO-SLOT,WINWAYS
KB,269,UFA,Integrated,prosperity-express,Prosperity Express,รถไฟแห่งความมั่งคั่ง,,97.03%,,,5000X,HIGH,,27.28%,SLOTS,VIDEO-SLOT,WINWAYS
KM,281,UFA,Under Development,bots-of-fortune,Bots of Fortune,,,,,,,,,,,,
KB,283,"UFA Only, UFA Premium Lobby",Under Development,wild-bounty-ways-ufa,Wild Bounty Ways,วิถีสมบัติผู้ยิ่งใหญ่,,96.95%,5000X,,5000X,MEDIUM,,20.69%,SLOTS,VIDEO-SLOT,WINWAYS
KB,284,UFA Premium Lobby,Under Development,vulcans-blessing-ufa,Vulcan’s Blessing,พรจากวัลแคน,,96.92%,,,10000x,LOW,,34.87%,SLOTS,VIDEO-SLOT,WINWAYS
KB,282,UFA Premium Lobby,Under Development,prosperity-express-ufa,Prosperity Express,รถไฟแห่งความมั่งคั่ง,,97.03%,,,5000X,HIGH,,27.28%,SLOTS,VIDEO-SLOT,WINWAYS
KM,201,UFA,Live,baccarat-multi,Baccarat: Multi,บาคาร่า: มัลติ,,97.66%,21x,2x,40X,MEDIUM,,,CLASSIC,TABLE,CARD
